slug,category,habitat_classes,movement_classes,source,reason,photo_suggestion
acleris-forsskaleana,insect,tree-canopy,idle-only,override,Maple leaf-rolling tortrix; entire life cycle in Acer canopy; rests cryptically on leaves and bark; no flower visiting,Small pale moth resting on maple leaf or bark surface
andrena-flavipes,insect,flower-visitor;ground-park,flower-bobber;idle-only,override,Abundant mining bee with visible soil nesting aggregations in parks; dual flower-visitor + ground-park ecology prominent in observations,Yellow-legged mining bee at bare-soil nest entrance in sunny park path edge
anthomyiidae-indet,insect,ground-park;flower-visitor,idle-only;flower-bobber,override,Root-fly family with soil/plant larval ecology; ground-park dominant over default flower-visitor to reflect family-level ground biology,Small greyish fly resting on low park vegetation
anthriscus-sylvestris,plant,ground-park;water-edge,none,override,Common on both park margins and canal banks; water-edge secondary is biologically significant in Amsterdam context,Dense white umbellifer stands along Amsterdam canal bank in spring
apamea-monoglypha,insect,ground-park,idle-only,override,Grass-root noctuid moth; entirely ground/park associated; nocturnal; no flower visiting; rests on bark by day,Dark brown variably patterned moth resting against bark or wooden post
calamagrostis-epigejos,plant,ground-park;water-edge,none,override,Robust grass of park margins and railway banks; water-edge secondary for drier canal embankments; wind-pollinated not flower-visitor,Tall feathery purple-tinged grass panicles on Amsterdam railway embankment or park edge
chelostoma-rapunculi,insect,flower-visitor,flower-bobber,default,,Chelostoma rapunculi on Campanula flower head
chorthippus-biguttulus-group,insect,ground-park,idle-only,override,Grasshopper; ground-dwelling orthopteran not a flower visitor,Chorthippus grasshopper on grass stem in park
coreus-marginatus,insect,ground-park,idle-only,override,Seed-sucker on Rumex; not a flower forager; cryptic and slow-moving,Dock Bug on Rumex seed head
cornu-aspersum,mollusc,ground-park,idle-only,default,,Garden Snail on soil or leaf litter in park
crambus-perlella,insect,ground-park,idle-only,override,Grass-resting moth; cryptic daytime rest on grass stems; not a flower visitor,Crambus perlella resting on grass stem
dipsacus-pilosus,plant,ground-park,none,default,,Small Teasel in shaded park margin
ditula-angustiorana,insect,tree-canopy,idle-only,override,Leaf-rolling tortrix; rests on foliage or bark; not a flower forager,Red-barred Tortrix resting on leaf
epilobium-hirsutum,plant,water-edge,none,override,Obligate wetland herb of canal banks and ditch margins,Great Willowherb flowering at canal edge
galium-verum,plant,ground-park,none,default,,Lady's Bedstraw on dry sunny grassland
glechoma-hederacea,plant,ground-park,none,default,,Ground-ivy mat in shaded park ground
hordeum-murinum,plant,ground-urban,none,override,Urban pavement-crack annual; characteristic of streets and wall bases,Wall Barley in pavement crack
megachile-willughbiella,insect,flower-visitor,flower-bobber,default,,Megachile willughbiella foraging on flower
mormo-maura,insect,tree-bark,idle-only,override,Large noctuid; daytime roost pressed flat on bark with cryptic patterning,Old Lady moth resting on tree bark
motacilla-alba,bird,ground-urban;water-edge,urban-walker;water-edge-stalker,override,Ground-urban forager on pavements and rooftops; secondary water-edge canal bank forager,White Wagtail walking on pavement near canal
plantago-lanceolata,plant,ground-park,none,default,,Ribwort Plantain in park lawn
sambucus-nigra,plant,ground-park,none,default,,Elder shrub at park edge in flower
sarcophaga-spec,insect,ground-urban,urban-walker,override,Carrion/urban fly; walks short distances on pavements and walls; not a flower forager,Flesh fly on sunlit pavement or wall
sonchus-oleraceus,plant,ground-urban,none,override,Ruderal annual of pavement cracks and wall bases; primarily urban ground,Smooth Sow-thistle in pavement crack
urtica-dioica,plant,ground-park,none,default,,Common Nettle patch in park margin
acentria-ephemerella,insect,water-surface,idle-only,override,Semi-aquatic moth; larvae submerged; adults skim or rest on water surface,Water Veneer moth on water surface
chloromyia-formosa,insect,flower-visitor,flower-bobber,default,,Broad Centurion soldier fly on umbellifer flower
cirsium-vulgare,plant,ground-park,none,default,,Spear Thistle in rough park grassland
crocallis-elinguaria,insect,tree-bark,idle-only,override,Geometrid moth; daytime rest motionless on bark in leaf-mimicking posture,Scalloped Oak moth resting on bark
eupatorium-cannabinum,plant,water-edge,none,override,Obligate wet-habitat tall herb of canal banks and pond margins,Hemp-agrimony flowering at canal bank
graphosoma-italicum,insect,flower-visitor,idle-only,override,Seed-feeder on Apiaceae umbels; found on flower heads but stationary not bobbing,Striped Shield Bug on umbellifer flower head
gymnoscelis-rufifasciata,insect,tree-canopy,idle-only,override,Geometrid moth; cryptic daytime rest on foliage or bark; not a flower visitor,Double-striped Pug moth resting on leaf
hirundo-rustica,bird,sky-only,sky-looper,override,Aerial insectivore; almost never perches in open; sweeps low over canals and parks,Barn Swallow in flight over canal
hylaeus-communis,insect,flower-visitor,flower-bobber,default,,Common Yellow-face Bee on flower
leucanthemum-vulgare,plant,ground-park,none,default,,Oxeye Daisy in park meadow area
lotus-pedunculatus,plant,water-edge,none,override,Wet-habitat species of canal banks and marshy margins; not dry grassland,Greater Bird's-foot-trefoil at water margin
magnoliopsida,plant,ground-park,none,default,Broad class placeholder — plant default fits as the safest representative assignment.,A mixed herbaceous verge with visible dicot forbs in an Amsterdam park
oryctolagus-cuniculus,mammal,ground-park,park-roamer,default,Mammal defaults fit exactly — ground-dwelling grazer in vegetated park space.,Rabbit grazing on open lawn in Vondelpark or Amsterdamse Bos
phasianus-colchicus,bird,ground-park,park-roamer,override,Ground bird never found in canopy; park-roamer matches its slow foraging stride.,Pheasant walking through long grass in a park clearing
philoscia-muscorum,other,ground-park,idle-only,override,Terrestrial isopod (crustacean not insect); category overridden to other; ground-park matches damp litter habitat; movement negligible so idle-only.,Woodlouse on damp leaf litter or under a log
pyrrhocoris-apterus,insect,ground-park,idle-only,override,Seed-feeding ground insect; clusters motionlessly at base of linden trees — flower-visitor and flower-bobber both wrong.,Dense cluster of firebugs at the base of a linden trunk on bare soil
rhinophora-lepida,insect,ground-park,flower-bobber,override,Adult flower visitor on umbellifers in park habitats; larva parasitoid of woodlice; ground-park preferred over flower-visitor as dominant since adults are seen low on vegetation.,Adult fly on an umbellifer flower head in a park margin
textrix-denticulata,arachnid,wall-and-roof,idle-only,override,Funnel-web spider of masonry and stone walls; wall-and-roof overrides anywhere; web-anchored so idle-only applies.,Funnel web in a crevice of a canal wall or old building stonework
thereva-nobilitata,insect,ground-park,idle-only,override,Adults bask on bare ground and do not feed at flowers; larvae predatory in soil — flower-visitor and flower-bobber both wrong.,Stiletto fly basking on bare sandy soil in a sunny park clearing
apterogenum-ypsillon,insect,ground-park,idle-only,override,Nocturnal moth resting cryptically by day on low vegetation or ground; caterpillars feed on ground-level plants — flower-visitor and flower-bobber wrong.,Adult moth resting on a plantain leaf or grass stem at ground level
bufo-bufo,amphibian,water-edge;ground-park,water-edge-stalker;park-roamer,override,Genuinely dual-habitat — breeds at water-edge but terrestrial for most of the year; movement alternates between water patrol and park wandering.,Common Toad at the edge of a Vondelpark pond or on a damp path at night
cepaea-nemoralis,mollusc,ground-park,idle-only,default,Mollusc defaults fit — land snail on vegetated damp ground; movement below animation threshold.,Brown-lipped Snail on leaf litter or a damp stone in a park
cornus-sanguinea,plant,ground-park,none,default,Shrub not tree; plant default (ground-park none) fits.,Dogwood shrub with red stems in winter or white flower clusters in spring
dianthus-deltoides,plant,ground-park,none,default,Ground-level forb of dry sunny grassland; plant default fits.,Maiden Pink flowering on a dry sunny park verge
enoplognatha-ovata-latimana,arachnid,flower-visitor,idle-only,override,Lives in webs on flower heads and seed heads in summer; flower-visitor overrides anywhere; web-anchored so idle-only.,Small spider in a tangle web on a thistle or umbellifer flower head
eristalis-horticola,insect,flower-visitor,flower-bobber,default,Hoverfly adult is a flower visitor; insect defaults apply exactly.,Stripe-winged Drone Fly on a hogweed or thistle flower head
heracleum-sphondylium,plant,ground-park,none,default,Ground-level umbellifer; plant default fits.,Hogweed plant in full bloom along a canal bank or park edge
leptophyes-punctatissima,insect,tree-canopy,idle-only,override,Wingless bush-cricket lives in shrub and low tree foliage; flower-visitor and flower-bobber both wrong; tree-canopy and idle-only match its leaf-surface lifestyle.,Speckled Bush-cricket on a leaf in a hedgerow or low shrub canopy
malva-moschata,plant,ground-park,none,default,Ground-level perennial herb of grassy verges; plant default fits.,Musk-mallow in flower on a park verge or meadow planting
medicago-lupulina,plant,ground-park,none,default,Low-growing legume of disturbed park soils; plant default fits.,Black Medick in flower on a lawn or path edge
panorpa-germanica,insect,ground-park,idle-only,override,Carrion/fruit scavenger of shaded damp hedgerows; not a flower visitor; rests on low vegetation — flower-visitor and flower-bobber wrong.,Scorpionfly perched on a nettle or bramble leaf in shade
phlomis-russeliana,plant,ground-park,none,default,Ornamental ground-level perennial planted in park borders; plant default fits.,Turkish Sage with whorled yellow flowers in a park border planting
pisaura-mirabilis,arachnid,ground-park,idle-only,override,Hunting spider of tall grass and low park vegetation; ground-park overrides anywhere; sits still between hunts so idle-only applies.,Nursery-web Spider on tall grass with egg sac
platyedra-subcinerea,insect,ground-park,idle-only,override,Gelechiid moth; larvae in Malvaceae seed capsules; adults nocturnal and day-resting on low vegetation — flower-visitor and flower-bobber wrong.,Micro-moth resting on a mallow leaf or stem
procambarus-clarkii,other,water-body;water-edge,water-drifter;idle-only,override,Freshwater crayfish not insect — GBIF taxon group incorrect; category overridden to other; lives submerged in canals (water-body dominant) and emerges onto bank at night (water-edge secondary).,Red Swamp Crayfish in a shallow Amsterdam canal or on a canal bank at dusk
schoenobius-gigantella,insect,water-edge,idle-only,override,Reed-stem borer; entire lifecycle in reedbed; adults rest on reed stems by day — flower-visitor and flower-bobber both wrong; water-edge and idle-only correct.,Moth resting on a Phragmites reed stem at a canal margin
silene-latifolia,plant,ground-park,none,default,Ground-level forb of disturbed ground and park margins; plant default fits.,White Campion in flower on a disturbed bank or road verge
sonchus-asper,plant,ground-urban;ground-park,none,override,Abundant pavement-crack and wall-base weed throughout inner Amsterdam as well as parks — ground-urban is the dominant habitat override; ground-park is genuine secondary.,Prickly Sow-thistle growing from a pavement crack on an Amsterdam street
sphaerophoria-scripta,insect,flower-visitor,flower-bobber,default,Common hoverfly; avid flower visitor throughout season; insect defaults apply exactly.,Common Globetail hovering over an umbellifer or composite flower head
tragopogon-pratensis,plant,ground-park,none,default,Ground-level grassland composite; plant default fits.,Goat's-beard seed clock or yellow flower head in a park meadow
anas-platyrhynchos-domesticus,bird,water-surface;ground-urban,water-drifter;urban-walker,override,Semi-feral urban duck; drifts on canal water (dominant) but wades onto pavements to beg — multi-habitat like wild mallard but even more ground-urban biased.,Domestic Mallard waddling on a pavement or drifting on an inner-city canal
anas-platyrhynchos-f-domesticus,bird,water-surface;ground-urban,water-drifter;urban-walker,override,Domestic duck behaves like mallard — drifts on water and forages on pavements; dual habitat and movement match the mallard multi-class template.,Duck on Amsterdam canal water with other waterfowl
ancylis-achatana,insect,tree-canopy,idle-only,override,Tortricid leaf-roller moth resting on hawthorn or rosaceous tree foliage; not a flower visitor; default overridden to tree-canopy + idle-only.,Adult moth resting on hawthorn leaf with wings flat
anthidium-manicatum,insect,flower-visitor,flower-bobber,default,Solitary bee that actively visits flowers for pollen and nectar; default fits.,Wool carder bee on lavender or woundwort flower
anthomyia-procellaris,insect,ground-park,idle-only,override,Anthomyiid fly associated with decaying organic matter in vegetated ground; not a flower visitor; rests on low vegetation.,Small dark fly basking on leaf in shaded park area
bellis-perennis,plant,ground-park,none,default,Common lawn daisy of park turf; default fits.,Dense daisy lawn in Amsterdam park in spring
caltha-palustris,plant,water-edge,none,override,Obligate wetland plant of ditch and canal margins; must be placed at water-edge not ground-park.,Marsh-marigold flowering at Amsterdam canal edge in April
chrysolina-americana,insect,ground-park,idle-only,override,Leaf beetle that clings to rosemary and lavender shrubs in parks; not a flower visitor; sedentary plant-feeder.,Metallic rosemary beetle on lavender stem
chrysopilus-cristatus,insect,water-edge;ground-park,idle-only,override,Rhagionid snipefly preferring damp canal-edge and humid vegetated margins; rests motionless on leaves; dominant habitat is water-edge.,Black snipefly resting on leaf near canal bank
dasypoda-hirtipes,insect,ground-park,idle-only,override,Ground-nesting mining bee; spends most observed time at nest entrance in sandy soil; flower-visitor default misses the defining ground-nesting behaviour.,Pantaloon bee at burrow entrance in sandy park soil with fan of excavated sand
diplotaxis-tenuifolia,plant,ground-urban,none,override,Perennial wall-rocket of pavement cracks and rubble; urban weed not a park plant; default ground-park overridden to ground-urban.,Wall-rocket growing in Amsterdam pavement crack
epipactis-helleborine,plant,ground-park,none,default,Woodland orchid adapted to shaded park ground; ground-park default fits.,Broad-leaved helleborine in flower under park trees
erigeron-canadensis,plant,ground-urban,none,override,Canadian fleabane is a pavement-crack and rubble-ground coloniser; ground-urban overrides default ground-park.,Canadian fleabane in Amsterdam pavement crack
fraxinus-excelsior,tree,tree-rooted,none,override,Ash is a tree not a plant; GBIF batch category wrong; override category to tree with tree-rooted placement.,Full ash tree crown in Amsterdam park or street
geranium-molle,plant,ground-park,none,default,Common lawn crane's-bill of park turf and path edges; default fits.,Dove's-foot crane's-bill flowers in short grass
hedya-salicella,insect,tree-canopy,idle-only,override,Tortricid moth associated with willows and alders; rests on bark and foliage; not a flower visitor; tree-canopy + idle-only.,White-patterned moth resting on willow leaf
heterocera-indet,insect,ground-park,idle-only,override,Unidentified moth; most moths rest on low vegetation or bark in parks; ground-park + idle-only is the safest broad assignment without species identification.,Unidentified moth at rest on leaf in park vegetation
holcus-lanatus,plant,ground-park,none,default,Perennial grass of park lawns and verges; default fits.,Yorkshire-fog grass flower heads in Amsterdam park
impatiens-glandulifera,plant,water-edge,none,override,Obligate riparian invasive forming tall stands at canal and ditch margins; water-edge overrides default ground-park.,Himalayan balsam colony on Amsterdam canal bank
malva-sylvestris-cultivar,plant,ground-park,none,default,Ornamental mallow cultivar in park beds and borders; default ground-park fits.,Common mallow cultivar in flower in park planting
merodon-equestris,insect,flower-visitor,flower-bobber,default,Hoverfly that visits flowers for nectar as adult; default flower-visitor and flower-bobber fit.,Narcissus bulb fly on spring flower showing bumblebee mimicry
neoitamus-cyanurus,insect,ground-park,idle-only,override,Predatory robber fly that perches motionless on low vegetation and posts in open park areas; not a flower visitor; ambush hunter.,Common awl robber fly perching on bare twig in sunny park clearing
nuphar-lutea,plant,water-surface,none,override,Obligate aquatic plant with floating leaves; must be placed on water-surface not ground-park.,Yellow water-lily floating on Amsterdam canal or park pond
nycticorax-nycticorax,bird,water-edge,idle-only;water-edge-stalker,override,Nocturnal heron that roosts motionless by day at water edges; idle-only dominates for daytime sprite; water-edge-stalker secondary for dusk animation; default tree-canopy/tree-flitter does not apply.,Night heron hunched on Amsterdam canal railing at dusk
oenothera-x-fallax-o-biennis-x-o-glazioviana,plant,ground-urban,none,override,Hybrid evening-primrose of dry disturbed urban ground and roadsides; ground-urban overrides default ground-park.,Evening-primrose colony on Amsterdam waste ground or roadside
panorpa-vulgaris,insect,ground-park,idle-only,override,Scorpionfly scavenging in shaded shrubby park habitat; not a flower visitor; sits motionless on vegetation; ground-park + idle-only correct.,Common scorpionfly resting on leaf in park shrub showing upturned abdomen
papaver-somniferum,plant,ground-park,none,default,Self-seeding ornamental poppy naturalised in parks and on waste ground; ground-park default fits.,Opium poppy flowers in Amsterdam park border
phleum-pratense,plant,ground-park,none,default,Timothy grass of park lawns and verges; default fits.,Timothy grass cylindrical flower heads in park meadow strip
pilosella-aurantiaca,plant,ground-park,none,default,Orange hawkweed naturalised on park lawns; default fits.,Fox-and-cubs orange flowers in Amsterdam park lawn
potentilla-anserina,plant,ground-park,none,default,Silverweed of damp compacted path edges and park margins; ground-park default fits.,Silverweed with silver leaves and yellow flowers on Amsterdam park path edge
rhaphigaster-nebulosa,insect,tree-canopy,idle-only,override,Tree-feeding shieldbug living on lime and elm foliage; not a flower visitor; sits motionless on leaves; default flower-visitor overridden to tree-canopy + idle-only.,Mottled shieldbug on lime or elm leaf in Amsterdam park
scoparia-ambigualis,insect,tree-bark;ground-park,idle-only,override,Crambid moth resting on bark/moss; larvae feed on mosses on tree trunks — flower-visitor default inapplicable,Adult resting flat on mossy bark or old stone wall
tanacetum-vulgare,plant,ground-park,none,default,,Flowering plant with yellow button-heads in rough park grassland
valeriana-officinalis,plant,ground-park;water-edge,none,override,Amsterdam observations concentrate along canal margins and ditch banks — water-edge added as secondary,Tall plant in flower at canal bank or damp park corner
vicia-villosa,plant,ground-park,none,default,,Scrambling plant with purple-white flowers on park verge or roadside
agriphila-straminella,insect,ground-park,idle-only,override,Grass-root moth resting in turf; does not visit flowers — insect default inapplicable,Adult resting among grass stems with wings folded
anthemis-tinctoria,plant,ground-park,none,default,,Bright yellow daisy-like flowers on dry disturbed ground
auplopus-carbonarius,insect,flower-visitor;wall-and-roof,flower-bobber;urban-walker,override,Spider-hunting wasp: adults visit flowers but also forage on ground and nest in wall crevices,Female wasp running on pavement or inspecting wall crevice
borkhausenia-nefrax,insect,tree-bark;ground-park,idle-only,override,Oecophorid moth associated with dead wood and bark detritus; rests motionless on bark — flower default inapplicable,Adult at rest on bark or dead wood surface
catoptria-verellus,insect,ground-park,idle-only,override,Grass moth resting among turf; larvae in grass roots — flower-visitor default inapplicable,Adult resting in short grass or on bare sandy ground
centaurea-cyanus,plant,ground-park,none,default,,Cobalt-blue flowers in wildflower meadow or park planting
chelidonium-majus,plant,ground-urban;ground-park,none,override,Strong preference for wall bases and built-up disturbed ground — ground-urban dominant,Plant with yellow flowers at base of brick wall or on rubble ground
closterotomus-norwegicus,insect,ground-park;flower-visitor,idle-only;flower-bobber,override,Mirid plant bug on herbaceous vegetation; moves between stems but is a piercing feeder not a pollinator,Bug on nettle or thistle stem
colletes-spec,insect,flower-visitor;ground-park,flower-bobber;sky-looper,override,Solitary mining bee: flower-visitor default fits for foraging; ground-park added for soil-nesting behaviour,Bee on composite flower or entering soil burrow
convolvulus-arvensis,plant,ground-urban;ground-park,none,override,Strong urban ruderal of pavements and rubble — ground-urban dominant,Pink/white funnel flowers scrambling through pavement fence or rubble
crataegus-monogyna,plant,ground-park,none,default,,Shrubby hawthorn in park hedgerow with white blossom or red haws
curruca-communis,bird,tree-canopy;ground-park,tree-flitter;idle-only,override,Scrub warbler: perches in low trees/shrubs (tree-canopy) but forages near ground; sings from exposed perch (idle-only secondary),Male singing from top of shrub or flitting through hedgerow
digitalis-purpurea,plant,ground-park,none,default,,Tall spike of purple tubular flowers in park woodland edge
emmelina-monodactyla,insect,ground-park;ground-urban,idle-only,override,Plume moth resting on bindweed stems and fences; strongly associated with urban weed habitats,Adult at rest in characteristic T-shape on fence post or stem
eudonia-lacustrata,insect,tree-bark;wall-and-roof,idle-only,override,Crambid moth with moss-feeding larvae; rests on mossy bark and old walls — flower default inapplicable,Adult resting on mossy bark or damp wall
eurydema-oleracea,insect,ground-park;ground-urban,idle-only,override,Shieldbug on brassicaceous plants at ground level; slow-moving and often stationary,Bright patterned bug on hedge mustard or cabbage leaf
gonocerus-acuteangulatus,insect,tree-canopy;ground-park,idle-only,override,Squash bug associated with box and woody shrubs; sits motionless on shrub stems,Bug on box (Buxus) or hawthorn stem
heterogaster-urticae,insect,ground-park;ground-urban,idle-only,override,Nettle ground bug on nettle seeds at base of plant; minimal movement,Clustered bugs on nettle stems or fallen seed heads
impatiens-parviflora,plant,ground-park,none,default,,Small pale yellow flowers in shaded park understory or canal bank
lactuca-serriola,plant,ground-urban;ground-park,none,override,Classic urban ruderal of roadsides and rubble — ground-urban dominant,Tall plant with yellow flowerheads on roadside or building edge
leucania-obsoleta,insect,water-edge;ground-park,idle-only,override,Reed-stem boring moth; tightly associated with Phragmites reedbeds at water margins,Cryptic adult resting on reed stem at canal margin
mononychus-punctumalbum,insect,water-edge;ground-park,idle-only,override,Iris-specialist weevil; larvae inside Yellow Iris seed capsules at water margins,Small weevil on Yellow Iris leaf or seed pod at canal edge
nephopterix-angustella,insect,tree-canopy;ground-park,idle-only,override,Pyralid moth with larvae in spindle berries; rests on shrub foliage,Adult at rest on spindle (Euonymus) foliage or bark
pentaglottis-sempervirens,plant,ground-urban;ground-park,none,override,Persistent garden escape at wall bases and pavement edges throughout Amsterdam — ground-urban dominant,Blue borage-like flowers at base of urban wall or fence
philaenus-spumarius,insect,ground-park;flower-visitor,idle-only,override,Froghopper on wide range of herbs; adults sit motionless on plant stems and flower heads,Cuckoo-spit foam on grass stem or adult on flower head
phragmites-australis,plant,water-edge;water-body,none,override,Tall waterside grass of reedbeds; roots in submerged sediment — water-edge dominant not ground-park,Dense reedbed stand at canal margin with seed plumes
